Heading,summary,author
Weight Discrimination Is Legal. Should New York City Change That?,The City Council is expected to approve a bill this spring that would ban weight discrimination in hiring and housing. Some states are considering similar measures.,Emma G. Fitzsimmons
Saudi and Iranian Foreign Ministers Meet in China After Thaw,"The high-level meeting was a sign that the regional rivals are moving ahead with an agreement to re-establish relations, mediated last month by Beijing.",Vivian Nereim
Militias in Lebanon Fire Rocket Barrage Into Israel,"The unusual attack followed weeks of rising tensions between Israel and Hezbollah, an Iran-backed group that is very powerful in Lebanon. Hezbollah has not claimed responsibility.",Patrick Kingsley
2 Generals Took Over a Country. Will They Deliver Democracy or War?,"The deadline is approaching for the generals who took power in a military coup in Sudan to turn over their authority to a civilian government. The mood in the capital, Khartoum, is anxious.",Declan Walsh
French Unions and Government in Deadlock as Pension Protests Resume,The council that reviews legislation for constitutional issues is expected to rule on President Emmanuel Macron’s pension overhaul next week.,Aurelien Breeden
,"Once a building ground for battleships, the site is a city-within-a-city where companies can test their solutions for a greener future.",Winnie Hu
Politics Complicates Chinese Reaction to U.S. Visit by Taiwan’s President,"For Beijing, showing displeasure too openly carries risks, particularly of harming the chances for its preferred party in Taiwan’s coming presidential election.",Chris Buckley
"Bob Lee, Cash App Creator, Is Fatally Stabbed in San Francisco","Mr. Lee, 43, was chief product officer at the cryptocurrency start-up MobileCoin. The case remains under investigation.",Amanda Holpuch
Chinese Officials Flock to Twitter to Defend TikTok,"The company has tried to distance itself, but the information push shows just how deeply invested Beijing is in its fate.",Sapna Maheshwari
House G.O.P.’s Plan to Cut Food Stamps Faces a Tough Vote,"A proposal to tighten work requirements for federal nutrition programs has generated fissures among Republicans, highlighting the difficult choices ahead in coming up with a budget plan.",Catie Edmondson
"In Northern Ireland Town, Painful Memories Lie Beneath a Fragile Peace","Twenty-five years after the Good Friday Agreement ended an era of bloodshed, this is a moment to celebrate reconciliation across Northern Ireland. But for many, the past is not always easy to leave behind.",Mark Landler
Attacks on Dominion Voting Persist Despite High-Profile Lawsuits,Unproven claims about Dominion Voting Systems still spread widely online.,Stuart A. Thompson
"European Tour May Punish LIV Golfers, Arbitrators Rule","The decision by a panel in London was an early test for the Saudi Arabia-backed circuit, which is also facing legal battles in the United States.",Alan Blinder
Tennessee House Poised to Expel 3 Democrats Over Gun Control Protest,The Republican-dominated House was set to vote on Thursday on taking the rare and punitive action of removing the Democrats from office for their part in the protest.,Emily Cochrane
What It Was Like Inside the Courtroom During Trump’s Arraignment,Here are some of the most important moments from the hearing where criminal charges against Donald Trump were unveiled.,Jonah E. Bromwich
A New Twist for the Tradition-Bound Masters: The LIV Golf Era,"LIV, Saudi Arabia’s breakaway league, split men’s professional golf. Now, the drama is coming to one of the sport’s most hallowed stages.",Alan Blinder
Three Takeaways From a Tumultuous Day in Politics,"A blowout in Wisconsin, an indictment in New York and a progressive victory in Chicago.",Nate Cohn
5 Lessons for Democrats From Victories in Wisconsin and Chicago,"The Wisconsin results show that the salience of abortion is not fading, and in Chicago, a “tough-on-crime” message fell short.",Maggie Astor
It’s Not Just Willow: Oil and Gas Projects Are Back in a Big Way,"Alaska’s controversial Willow project has drawn criticism, but a global analysis shows that it’s just one of hundreds of investments approved in the past year or so.",Max Bearak
Wisconsin Rout Points to Democrats’ Enduring Post-Dobbs Strength,"A resounding victory by a liberal judge who ran on abortion rights showed that a largely unified political left is keeping up its momentum, and served as a new warning sign to Republicans.",Reid J. Epstein
"Trump’s Charges Bring Doubts, Hopes and Uncertainty in Both Parties","To some Republicans and Democrats, the charges appeared flimsy and less consequential than many had hoped. To others, the case had the potential to reverberate politically.",Jonathan Weisman
Man Accused of Kidnapping Platypus Is Charged in Australia,"The police had appealed for help after the platypus was spotted at a train station in Queensland. The animal was later released, but the authorities have been unable to find it.",Mike Ives
